Tissue,Hr,letter,pfu/g
LN,24,A,3600000
Tumor,24,A,1450443.191
Spleen,24,A,26603773.58
Kidney,24,A,87336.24454
LN,24,B,10200000
Tumor,24,B,186412.5932
Spleen,24,B,18806875.63
Kidney,24,B,33955.85739
LN,24,C,6000000
Tumor,24,C,1091901.729
Spleen,24,C,15942028.99
Kidney,24,C,79756.93126
LN,24,D,4800000
Tumor,24,D,16723842.2
Spleen,24,D,14856230.03
Kidney,24,D,22770.39848
LN,24,E,4800000
Tumor,24,E,2025782.689
Spleen,24,E,10728476.82
Kidney,24,E,25688.75652
LN,24,F,126000
Tumor,24,F,145725.3886
Spleen,24,F,295698.9247
Kidney,24,F,0
LN,24,G,1200000
Tumor,24,G,1856627.13
Spleen,24,G,264084.507
Kidney,24,G,229797.013
LN,24,H,1920000
Tumor,24,H,2352326.19
Spleen,24,H,357917.57
Kidney,24,H,0
LN,24,I,4500000
Tumor,24,I,1609984.4
Spleen,24,I,3112840.47
Kidney,24,I,8442.77674
LN,24,J,2700000
Tumor,24,J,853211.009
Spleen,24,J,1162227.6
Kidney,24,J,5249.34383
LN,48,A,5400000
Tumor,48,A,269590.223
Spleen,48,A,7915.56728
Kidney,48,A,1459.85401
LN,48,B,600000
Tumor,48,B,126165.661
Spleen,48,B,165380.375
Kidney,48,B,0
LN,48,C,12000000
Tumor,48,C,84566.5962
Spleen,48,C,15441176.5
Kidney,48,C,0
LN,48,D,180000
Tumor,48,D,274809.16
Spleen,48,D,0
Kidney,48,D,0
LN,48,E,216000
Tumor,48,E,743169.399
Spleen,48,E,13353.1157
Kidney,48,E,0
LN,48,F,54000
Tumor,48,F,54835.4935
Spleen,48,F,304428.044
Kidney,48,F,19928.4619
LN,48,G,0
Tumor,48,G,498338.8704
Spleen,48,G,31914.89362
Kidney,48,G,5305.039788
LN,48,H,1800000
Tumor,48,H,2394014.963
Spleen,48,H,119920.0533
Kidney,48,H,2351.097179
LN,48,I,0
Tumor,48,I,516252.3901
Spleen,48,I,1359773.371
Kidney,48,I,0
LN,48,J,168000
Tumor,48,J,852999.716
Spleen,48,J,14457.8313
Kidney,48,J,0
LN,72,A,66000
Tumor,72,A,40361.33
Spleen,72,A,22464.2614
Kidney,72,A,0
LN,72,B,48000
Tumor,72,B,226201.6965
Spleen,72,B,114814.8148
Kidney,72,B,0
LN,72,C,30000
Tumor,72,C,157629.256
Spleen,72,C,19464.72019
Kidney,72,C,0
LN,72,D,72000
Tumor,72,D,34345.90139
Spleen,72,D,3778.337531
Kidney,72,D,0
LN,72,E,138000
Tumor,72,E,50083.47245
Spleen,72,E,74380.16529
Kidney,72,E,0
LN,72,F,6000
Tumor,72,F,19061.8576
Spleen,72,F,11753.18315
Kidney,72,F,0
LN,72,G,78000
Tumor,72,G,6112.469438
Spleen,72,G,5923.000987
Kidney,72,G,0
LN,72,H,18000
Tumor,72,H,55642.74504
Spleen,72,H,26865.67164
Kidney,72,H,0
LN,72,I,18000
Tumor,72,I,25178.34662
Spleen,72,I,9273.570325
Kidney,72,I,0
LN,72,J,120000
Tumor,72,J,82568.80734
Spleen,72,J,18159.8063
Kidney,72,J,0
