May '22,,,,,,,,,,,,,,,,,,
Mouse no. ,Ltr,Intrvl,Ser pfu,Spln (mg),Spln pfu/g,Ipsi brain (mg),Ipsi pfu/g,Contra brain (mg),Contra pfu/g,Kidney (mg),Kidney pfu/g,CLN (mg),CLN pfu/g,,,,,
539,A,24hpi,0,90,2037,170,2941176,120,33333,180,19,15,0,,,,,
542,B,24hpi,0,100,333,190,1403508,160,25000,170,59,15,0,,,,,
548,C,24hpi,0,110,240,230,2391304,260,51282,180,130,15,0,,,,,
546,D,24hpi,0,130,256,180,1388888,160,25000,200,500,15,nd,,,,,
552,E,24hpi,0,60,333,180,1111111,150,2222,180,0,15,0,,,,,
,,,,,,,,,,,,,,,,,,
545,F,48hpi,0,120,0,180,222222,170,3137,220,0,30,1000,,,,,
547,G,48hpi,0,90,0,160,625000,150,17777,150,0,30,333,,,,,
544,H,48hpi,0,160,21,200,250000,160,12500,190,18,30,8000,,,,,
550,I,48hpi,0,80,0,100,300000,130,2564,210,0,20,500,,,,,
553,J,48hpi,0,100,100,210,476190,160,10417,220,0,25,133,,,,,
,,,,,,,,,,,,,,,,,,
543,K,72hpi,0,80,0,210,47619,120,833,220,0,15,2000,,,,,
541,L,72hpi,0,100,nd,170,58823,210,476,150,0,20,0,,,,,
540,M,72hpi,0,70,nd,170,98039,140,428,170,0,15,2000,,,,,
549,N,72hpi,0,80,2291,150,20000,90,3333,210,0,15,288888,,,,,
551,O,72hpi,0,150,222,140,21428,160,1875,180,0,20,13333,,,,,
,,,,,,,,,,,,,,,,,,
July '22,,,,,,,,,,,,,,,,,,
Mouse no. ,Ltr,Intrvl,Spln (mg),plaques,Spln pfu/g,Ipsi brain (mg),plaques,Ipsi pfu/g,Contra brain (mg),plaques,Contra pfu/g,Kidney (mg),plaques,Kidney pfu/g,CLN (mg),plaques,CLN pfu/g,
1827,A,24,100,0,0,135,9x10e4/300uL,2250000,180,4x10e3/300uL,74074,180,6x10e2,11111,25,0,0,1533
1828,B,24,110,200,6060,130,5x10e4/300uL,1950195,150,3x10e3/300uL,66667,180,2x10e2,3703,25,20/300uL,2667,
1830,C,24,100,40,1333,175,6x10e5/300uL,11428571,160,6x10e3/300uL,125000,200,8x10e2,13333,25,20/300uL,2667,
1833,D,24,80,ND,ND,180,6x10e5/300uL,11111111,160,7x10e3/300uL,145833,180,8x10e2,14814,20,8/300uL,1333,
1835,E,24,90,ND,ND,170,5x10e5/300uL,9803922,150,6x10e3/300uL,133333,200,6x10e2,10000,20,6/300uL,1000,
,,,,,,,,,,,,,,,,,,
1838,F,48,120,ND,ND,150,3x10e4/300uL,666667,170,9x10e2/300uL,17647,190,20,351,25,20/300uL,2667,34082
1843,G,48,100,150,4500,200,7x10e5/300uL,11666667,170,1x10e3/300uL,19608,180,9,167,30,4x10e2/300uL,44444,
1842,H,48,100,100,3000,180,2x10e5/300uL,3703703,170,8x10e2/300uL,15686,170,10,196,35,1.5x10e3/300uL,142857,
1845,I,48,90,300,11111,145,6x10e3/300uL,137931,160,7x10e2/300uL,14583,190,2x10e2,3509,30,2x10e2/300uL,22222,
1820,J,48,100,600,20000,NA,NA,NA,NA,NA,NA,200,0,0,25,20/300uL,2667,
,,,,,,,,,,,,,,,,,,
1847,K,72,80,0,0,180,5x10e3/300uL,92593,140,4x10e2/300uL,9523,210,0,0,25,4x10e2/300uL,53333,44289
1850,L,72,100,20,667,220,4x10e4/300uL,606060,200,8x10e2/300uL,13333,210,0,0,30,1x10e3/300uL,111111,
1829,M,72,80,3,125,150,3x10e4/300uL,666667,180,8x10e2/300uL,14815,190,0,0,20,2x10e2/300uL,33333,
1826,N,72,90,3,111,130,1x10e4/300uL,256410,160,5x10e2/300uL,10417,180,0,0,20,30/300uL,5000,
1841,O,72,110,9,272,NA,NA,NA,NA,NA,NA,190,0,0,20,4x10e2/300uL,66667,
,,,,,,,,,,,,,,,,,,
1840,P,96,90,0,0,120,1x10e4/300uL,277778,160,4x10e2/300uL,8333,210,0,0,30,ND,ND,36111
1831,Q,96,90,0,0,150,6x10e3/300uL,133333,150,1x10e2/300uL,2222,200,0,0,25,1x10e2/300uL,26667,
1832,R,96,100,0,0,150,6x10e3/300uL,133333,160,4x10e2/300uL,8333,200,0,0,20,ND,ND,
1844,S,96,110,20,600,170,8x10e3/300uL,156863,190,6x10e2/300uL,10526,220,0,0,25,5x10e2/300uL,66667,
1846,T,96,100,3,90,NA,NA,NA,NA,NA,NA,180,8,148,20,9x10e1/300uL,15000,
,,,,,,,,,,,,,,,,,,
1834,U,120,100,20,600,145,7x10e2/300uL,16092,125,10/300uL,267,190,0,0,20,1x10e2/300uL,33333,502778
1836,V,120,80,30,1250,200,2x10e3/300uL,33333,130,10/300uL,256,200,0,0,20,4x10e3/300uL,666667,
1839,W,120,70,12,571,140,1x10e2/300uL,2381,130,6/300uL,154,190,0,0,20,6x10e3/300uL,1000000,
1837,X,120,100,20,667,125,2x10e1/300uL,533,140,5/300uL,119,210,0,0,25,8x10e3/300uL,1066667,
1848,Y,120,120,0,0,150,8x10e2/300uL,16667,160,30/300uL,625,220,0,0,20,2x10e1/300uL,83333,
1849,Z,120,110,6,180,NA,NA,NA,NA,NA,NA,200,0,0,20,1x10e3/300uL,166667,
,,,,,,,,,,,,,,,,,,
August '22 Toggle,,,,,,,,,,,,,,,,,,
Mouse no. ,Ltr,Intrvl,Ipsi brain (mg),plaques,Ipsi pfu/g,Contra brain (mg),plaques,Contra pfu/g,CLN (mg),plaques,CLN pfu/g,,,,,,,
Ntg,A,120,160,9x10e1,1873,150,4x10e1/300uL,889,15,,0,,,,,,,
Ntg,B,120,180,8x10e1,1481,200,5x10e1/300uL,833,15,,0,,,,,,,
